organisation_1,organisation_2,organisation_3,trans_type,trans_range,origin_country,origin_site,origin_longitude,origin_latitude,capture_date,departure_time,destination_country,destination_site,destination_longitude,destination_latitude,release_time,species,total_individuals,males,females,notes
Government of DRC,Wildlife Vets NAM,Herholdt Family Trust,founder,extralimital,nam,,,,01-01-17,,cod,Parc de la Vallee de la Nsele,15.6301,-4.2571,,southern_angolan,11,,,
Government of DRC,Wildlife Vets NAM,Herholdt Family Trust,founder,extralimital,nam,,,,01-01-17,,cod,Mateba Island,,,,southern_angolan,4,,,all subsequently died. out of range
ProNamib,African Wildlife Services,Giraffe Conservation Foundation,founder,range,nam,Nomtsas,,,27-04-22,,nam,ProNamib Nature Reserve,,,,southern_angolan,,,,
ProNamib,African Wildlife Services,Giraffe Conservation Foundation,augmentation,range,nam,Bitterwasser,,,29-05-23,,nam,ProNamib Nature Reserve,,,,southern_angolan,,,,
Uganda Wildlife Authority,Giraffe Conservation Foundation,,founder,range,ner,Koure (Giraffe Zone),2.5953,13.3146,02-11-18,11-11-18,ner,Gadabedji Biosphere Reserve,8.2568,14.2447,2018-11,northern_westafrican,8,3,5,"Ditch/Green Giant, Flat Tyre/New Belgium, Crescant, PC/Charm, Hitch"
Government of Niger,Giraffe Conservation Foundation,,augmentation,range,ner,Koure (Giraffe Zone),2.5953,13.3146,09-11-22,11-11-22,ner,Gadabedji Biosphere Reserve,8.2568,14.2447,,northern_westafrican,4,0,4,
,,,captivity,extralimital,nga,Sumu Wildlife Park,10.6521,9.6603,,,nga,Small captive facilities,,,,southern_angolan,,,,
,,,founder,extralimital,sen,Reserve de Bandia,-17.0076,14.5602,,,sen,Fathala Wildlife Reserve,-16.4465,13.6536,,southern_southafrican,4,,,
,,,founder,extralimital,sen,Reserve de Bandia,-17.0076,14.5602,01-01-25,,mli,Tienfala,-7.7496,12.7324,,southern_southafrican,5,1,4,
,,,founder,extralimital,sen,Reserve de Bandia,-17.0076,14.5602,01-01-03,,sen,Fathala Wildlife Reserve,-16.4465,13.6536,,southern_southafrican,2,,,Malyjurkova et al. 2014
,,,augmentation,extralimital,sen,Reserve de Bandia,-17.0076,14.5602,01-01-06,,sen,Fathala Wildlife Reserve,-16.4465,13.6536,,southern_southafrican,2,,,Malyjurkova et al. 2014
,,,augmentation,extralimital,sen,Reserve de Bandia,-17.0076,14.5602,01-01-08,,sen,Fathala Wildlife Reserve,-16.4465,13.6536,,southern_southafrican,2,,,Malyjurkova et al. 2015
,,,augmentation,extralimital,sen,Reserve de Bandia,-17.0076,14.5602,01-01-12,,sen,Fathala Wildlife Reserve,-16.4465,13.6536,,southern_southafrican,2,,,Malyjurkova et al. 2016
Giraffe Conservation Foundation,,,augmentation,range,zaf,Mount Verde,30.3108,-29.5396,29-08-23,29-08-23,moz,Karingani Game Reserve,32.0663,-24.2522,,southern_southafrican,12,4,8,translocation report
Giraffe Conservation Foundation,,,founder,extralimital,zaf,KwaZulu Natal,31.1388,-28.4361,01-10-18,,mwi,Majete Wildlife Reserve,34.7422,-15.9093,05-10-20,southern_southafrican,13,5,8,translocation report
Giraffe Conservation Foundation,Wildlands Trust,Grant Tracy Game Capture,augmentation,range,zaf,KwaZulu Natal,31.1388,-28.4361,01-01-20,,zaf,Somkhanda Game Reserve,31.844,-27.5912,,southern_southafrican,10,,,Unsure method/sex ratio 
African Parks,Grant Tracy Game Capture,Giraffe Conservation Foundation,augmentation,extralimital,zaf,Mount Verde,30.3108,-29.5396,01-01-21,01-08-21,mwi,Majete Wildlife Reserve,34.7422,-15.9093,2021-10,southern_southafrican,10,4,6,One female died (disappeared) immediately after release. One female died from lion predation in June 2024. Craig Majete pers comm
,,,,extralimital,zaf,,,,,,ago,Parque Nacional do Quicama,13.5833,-9.75,,southern_southafrican,,,,all died
,,,,range,zaf,,,,,,bwa,BWA (southeast),,,,southern_southafrican,,,,ZAF to south-eastern BWA (Private)
,,,founder,extralimital,zaf,,,,01-01-97,,sen,Reserve de Bandia,-17.0076,14.5602,,southern_southafrican,4,,,
SANParks,Peace Parks Foundation,ANAC,,range,zaf,,,,01-01-12,,moz,Maputo National Park,32.7218,-26.5308,,southern_southafrican,8,,,
SANParks,Peace Parks Foundation,ANAC,augmentation,range,zaf,,,,01-01-13,,moz,Maputo National Park,32.7218,-26.5308,,southern_southafrican,12,,,
SANParks,Peace Parks Foundation,ANAC,augmentation,range,zaf,,,,01-01-17,,moz,Maputo National Park,32.7218,-26.5308,,southern_southafrican,12,,,
SANParks,Peace Parks Foundation,ANAC,founder,range,zaf,Kruger National Park,31.7871,-24.0981,01-01-11,,moz,Zinave National Park,33.5481,-21.6788,,southern_southafrican,7,,,
SANParks,Peace Parks Foundation,ANAC,augmentation,range,zaf,,,,01-01-19,,moz,Zinave National Park,33.5481,-21.6788,,southern_southafrican,11,,,
SANParks,Peace Parks Foundation,ANAC,augmentation,range,zaf,Kruger National Park,31.7871,-24.0981,01-01-02,,moz,Limpopo National Park ,32.1746,-23.6548,,southern_southafrican,4,,,
SANParks,Peace Parks Foundation,ANAC,augmentation,range,zaf,Kruger National Park,31.7871,-24.0981,01-01-03,,moz,Limpopo National Park ,32.1746,-23.6548,,southern_southafrican,13,,,
SANParks,Peace Parks Foundation,ANAC,augmentation,range,zaf,Kruger National Park,31.7871,-24.0981,01-01-04,,moz,Limpopo National Park ,32.1746,-23.6548,,southern_southafrican,15,,,
SANParks,Peace Parks Foundation,ANAC,augmentation,range,zaf,Kruger National Park,31.7871,-24.0981,01-01-05,,moz,Limpopo National Park ,32.1746,-23.6548,,southern_southafrican,14,,,
SANParks,Peace Parks Foundation,ANAC,augmentation,range,zaf,Kruger National Park,31.7871,-24.0981,01-01-06,,moz,Limpopo National Park ,32.1746,-23.6548,,southern_southafrican,15,,,
SANParks,Peace Parks Foundation,ANAC,augmentation,range,zaf,Kruger National Park,31.7871,-24.0981,01-01-07,,moz,Limpopo National Park ,32.1746,-23.6548,,southern_southafrican,20,,,
SANParks,Peace Parks Foundation,ANAC,augmentation,range,zaf,Kruger National Park,31.7871,-24.0981,01-01-08,,moz,Limpopo National Park ,32.1746,-23.6548,,southern_southafrican,33,,,
,,,founder,extralimital,zaf,,,,01-01-97,,sen,Reserve de Bandia,-17.0076,14.5602,,southern_southafrican,4,2,2,Malyjurkova et al. (2013)
Uganda Wildlife Authority,Kenya Wildlife Service,,founder,range,uga,Murchison Falls National Park (north),31.65827868,2.424292085,01-07-15,,uga,Lake Mburo National Park,30.97232267,-0.596347396,,northern_nubian,15,4,11,UWA translocation with KWS; GCF did assessment 
Uganda Wildlife Authority,Giraffe Conservation Foundation,,founder,range,uga,Murchison Falls National Park (north),31.65827868,2.424292085,18-01-16,29-01-16,uga,Murchison Falls National Park (South),31.68536474,2.190267322,,northern_nubian,18,5,13,https://www.zotero.org/groups/5147971/gcf_reportsinternal/collections/IFA67YAS/items/HC76WH6N/attachment/TXT4N7I5/reader
Uganda Wildlife Authority,Giraffe Conservation Foundation,,augmentation,range,uga,Murchison Falls National Park (north),31.65827868,2.424292085,08-10-17,23-10-17,uga,Murchison Falls National Park (South),31.68536474,2.190267322,,northern_nubian,19,13,6,
Uganda Wildlife Authority,Giraffe Conservation Foundation,,augmentation,range,uga,Murchison Falls National Park (north),31.65827868,2.424292085,08-08-18,18-08-18,uga,Kidepo Valley National Park ,33.75179365,3.830215418,,northern_nubian,14,1,13,"Kabim, Katrina, Lucky was a snared giraffe and released , Miss Kidepo, Pakuba, Murchison, Saba, Kabalega, Acacia, Lulu, Piggly Wiggly, Freckles was released, Petunia, Tangi, Victoria, Loware"
