time,event_type,event_category,state,location.latitude,location.longitude,reported_by.content_type,reported_by.id,reported_by.name,reported_by.subject_type,reported_by.subject_subtype,event_details.herd_size,event_details.herd_notes,event_details.river_system,event_details.image_prefix,giraffe_age,giraffe_sex,giraffe_left,giraffe_right,giraffe_notes,giraffe_id
20-01-20 0:01,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.36013,12.70715,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Khumib,Khumib,,ad,f,,,,HSBF074
20-01-20 0:01,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.36013,12.70715,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Khumib,Khumib,,ad,m,,,,KHBM026
20-01-20 0:01,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.36013,12.70715,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Khumib,Khumib,,sa,m,,,"KHBU016, ",KHBM067
20-01-20 0:01,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.36013,12.70715,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Khumib,Khumib,,sa,m,,,,KHBM013
20-01-20 0:01,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.36013,12.70715,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Khumib,Khumib,,ad,f,,,,KHBF025
20-01-20 0:01,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.36013,12.70715,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Khumib,Khumib,,ad,f,,,,KHBF004
20-01-20 8:50,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.02914,12.61142,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Marble Plains,NA,,ad,m,,,,KHBM035
20-01-20 8:50,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.02914,12.61142,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Marble Plains,NA,,ad,m,,,,KHBM006
20-01-20 8:50,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.02914,12.61142,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Marble Plains,NA,,ad,m,,,,HSBM118
20-01-20 9:20,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.03093,12.61472,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Marble Plains,NA,,ad,f,,,,KHBF021
