date,country,gir_species,gir_sex,gir_age,mortality_cause,notes,longitude,latitude
01-01-03 0:00,ken,northern_nubian,m,ad,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Translocation from Soy, powerline en route",,
01-08-07 0:00,ken,northern_nubian,m,ad,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted pipeline/powerline",36.209461,0.456414
01-08-07 0:00,ken,northern_nubian,m,ad,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted pipeline/powerline",36.209433,0.456495
01-08-07 0:00,ken,northern_nubian,m,ad,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted pipeline/powerline",36.209357,0.456498
07-12-14 0:00,ken,northern_nubian,m,u,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted pipeline/powerline. M032_Mbugua",36.20902,0.45594
27-09-17 0:00,ken,northern_nubian,m,u,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted pipeline/powerline. M052_James",36.209373,0.456352
27-08-18 0:00,ken,northern_nubian,m,u,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted pipeline/powerline. M031_Argos",36.22067,0.46984
29-04-20 0:00,ken,northern_nubian,m,u,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted pipeline/powerline. M012_Fabrice",36.19882,0.4434
01-06-20 0:00,ken,northern_nubian,u,sa,unnatural_fencing,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted cultivation fence",36.187663,0.517326
20-07-20 0:00,ken,northern_nubian,m,u,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted cultivation fence. M080_Lentloia",36.177742,0.52058
19-02-21 0:00,ken,northern_nubian,m,u,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted pipeline/powerline. M049_OleSanoe",36.220706,0.46978
19-02-21 0:00,ken,northern_nubian,m,u,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted pipeline/powerline. M057_Kondonyo",36.220706,0.46978
20-02-21 0:00,ken,northern_nubian,m,u,unnatural_powerline,"Soysambu Conservancy report ""Giraffe Electrocution Deaths.PDF"". Electrocuted pipeline/powerline. M047_Boundary",36.220706,0.46978
08-03-22 9:00,ken,reticulated,u,u,unnatural_poaching,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Kalepo/kilakir | Killed for meat, gun. The giraffe was found dead by the children who are looking after animals and later they reported to their families where they gave the information to us Twiga Walinzi team.",37.42717,1.31743
27-04-22 9:00,ken,reticulated,u,u,unknown,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Namunyak (lolkerpei) | It was reported by kids when they were looking after livestock ",37.43309,1.0142
01-05-22 9:00,ken,reticulated,u,u,unknown,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Namunyak (sarara Nadia) | It was reported by community members ",37.41158,1.04994
23-05-22 9:00,ken,reticulated,u,u,unnatural_poaching,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Kalepo | Carved for meat, gun. There was a elephant reported dead by a community member, Twiga Walinzi team was called to assist in the Sean by the rangers and on our way we encountered the dead giraffe in the same area.",37.45173,1.31391
30-05-22 9:00,ken,reticulated,u,u,unnatural_poaching,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Kalepo | Carved for meat , gun",37.34788,1.338
09-06-22 9:00,ken,reticulated,u,u,unnatural_poaching,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Namunyak | Carved for meat , gun",37.2513,1.184
30-08-22 9:00,ken,reticulated,u,u,unnatural_poaching,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Kalepo | Carved for meat, gun. The team come across the carcass on 30th when we are in a duty of retrieving the camera traps, we observe that the giraffe was short and the reason of killing was for curved meat.",37.21789,1.20468
23-09-22 9:00,ken,reticulated,u,u,unnatural_poaching,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Kalepo | Carved for meat, gun. The team observed the incident during photo monitoring period with the help of vultures. We found the giraffe was killed by a gun and the meat transported using donkeys something that have never happened in the resent times.",37.34018,1.34237
08-12-22 9:00,ken,reticulated,u,u,unnatural_vehicle,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Namunyak(sere-olipi area) | vehicle",37.34981,1.10889
